Country,Review_Total_Negative_Word_Counts,Review_Total_Positive_Word_Counts,Reviewer_Score,Standardised_Negative,Standardised_Positive
 Austria ,47285,42740,2412,19.60406302,17.71973466
 Belarus ,3980,4590,192,20.72916667,23.90625
 Belgium ,117513,102092,6031,19.48482839,16.92787266
 Bosnia and Herzegovina ,3320,3691,246,13.49593496,15.00406504
 Bulgaria ,23265,24209,1314,17.70547945,18.4238965
 Croatia ,24057,21945,1340,17.95298507,16.37686567
 Cyprus ,26465,22889,1381,19.16364953,16.57422158
 Czech Republic ,41314,38050,2311,17.87710948,16.46473388
 Denmark ,36522,29858,1724,21.18445476,17.31902552
 Estonia ,15273,13348,757,20.17569353,17.6327609
 Finland ,35109,37263,1829,19.19573537,20.3734281
 France ,138364,118892,7296,18.96436404,16.29550439
 Georgia ,3754,3997,294,12.76870748,13.5952381
 Germany ,175561,159059,7941,22.10817277,20.03009697
 Greece ,66866,58879,3406,19.63182619,17.28684674
 Hungary ,39550,38196,2185,18.1006865,17.48100686
 Iceland ,16229,17507,933,17.39442658,18.7642015
 Italy ,105924,99734,6114,17.32482826,16.31239778
 Latvia ,14897,13645,719,20.71905424,18.97774687
 Lithuania ,15230,13077,727,20.94910591,17.98762036
 Luxembourg ,27519,25780,1359,20.24944812,18.96983076
 Moldova ,2011,1748,108,18.62037037,16.18518519
 Monaco ,5519,3660,250,22.076,14.64
 Netherlands ,176971,157497,8772,20.1745326,17.95451436
 Norway ,47771,40422,2383,20.04657994,16.96265212
 Poland ,52514,50708,2891,18.16464891,17.53995157
 Portugal ,34483,29846,1839,18.7509516,16.22947254
 Romania ,100461,84682,4552,22.06963972,18.60325132
 Russia ,86620,77699,3900,22.21025641,19.92282051
 Serbia ,18550,19115,1124,16.50355872,17.00622776
 Slovakia ,15698,15666,903,17.38427464,17.34883721
 Slovenia ,13002,12418,796,16.33417085,15.60050251
 Spain ,88061,78907,4737,18.59003589,16.65758919
 Sweden ,72640,64246,3368,21.56769596,19.07541568
 Switzerland ,184425,153294,8678,21.25201659,17.66466928
 Ukraine ,20547,21724,1102,18.64519056,19.71324864
United Kingdom,0,0,0,18.89,17.59
