Country,Austria,France,Italy,Netherlands,Spain,United Kingdom,,
,,,,,,,,
 Abkhazia Georgia ,13,20,6,23,25,66,,
 Afghanistan ,1,1,,1,3,2,,
 Albania ,100,28,68,26,30,34,,
 Algeria ,3,27,3,9,32,26,,
 American Samoa ,1,,1,,,,,
 Andorra ,3,5,,5,38,13,,
 Angola ,4,12,6,3,10,27,,
 Anguilla ,1,,,,,,,
 Antarctica ,2,,,,,1,,
 Antigua Barbuda ,,2,,,2,10,,
 Argentina ,43,75,65,80,85,169,,
 Armenia ,44,16,15,17,18,24,,
 Aruba ,1,3,1,16,5,5,,
 Australia ,1680,3904,2677,2045,2907,8473,,
 Austria ,932,201,202,207,293,577,,
 Azerbaijan ,52,35,54,25,31,80,,
 Bahamas ,1,6,1,3,6,15,,
 Bahrain ,120,256,143,163,183,727,,
 Bangladesh ,10,26,22,14,20,59,,
 Barbados ,3,8,1,1,4,44,,
 Belarus ,43,19,41,23,40,26,,
 Belgium ,476,1165,514,1091,750,2035,,
 Belize ,,3,,1,,4,,
 Benin ,,2,1,,,3,,
 Bermuda ,2,8,1,9,8,75,,
 Bhutan ,,1,1,1,,3,,
 Bolivia ,2,3,,4,4,5,,
 Bonaire St Eustatius and Saba ,,,,3,,,,
 Bosnia and Herzegovina ,139,14,34,14,21,24,,
 Botswana ,2,2,3,3,6,26,,
 Brazil ,188,310,271,339,247,510,,
 British Virgin Islands ,,1,2,1,1,11,,
 Brunei ,4,17,8,10,5,56,,
 Bulgaria ,383,101,303,89,206,232,,
 Burundi ,,1,,1,,1,,
 Cambodia ,4,9,2,6,1,12,,
 Cameroon ,,5,1,,3,,,
 Canada ,787,1335,483,1114,1457,2718,,
 Cape Verde ,,,,,,1,,
 Cayman Islands ,2,7,1,1,2,29,,
 Central Africa Republic ,1,2,,,,,,
 Chile ,25,59,41,49,50,110,,
 China ,333,691,522,308,400,1146,,
 Cocos K I ,2,,,,,,,
 Colombia ,28,53,32,35,69,60,,
 Comoros ,,,,,,1,,
 Congo ,,2,,,1,,,
 Cook Islands ,,1,,,1,,,
 Costa Rica ,15,26,10,15,25,29,,
 Crimea ,,3,,3,,,,
 Croatia ,530,106,189,130,156,229,,
 Cura ao ,4,5,1,27,3,1,,
 Cyprus ,207,133,179,151,127,584,,
 Czech Republic ,832,198,306,231,280,464,,
 Democratic Republic of the Congo ,,2,2,,3,2,,
 Denmark ,158,211,183,203,270,699,,
